pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_sets,null_median_abs_d,null_p95,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_p95,block_null_pct
Transcriptional misregulation in cancer,123,15006,0.0081295296549797,0.0081295371055603,-7.450580596923828e-09,-0.0089207684948081,-0.1796798072310234,0.161838270241407,0.2139903144533659,0.919080919080919,0.9367555521401676,0,,,,200,0.03986511781164927,0.2610388742737964,0.9800995024875622
Chemical carcinogenesis,120,14280,0.0083329118788242,0.0083328373730182,7.450580596923828e-08,0.092599340238191,-0.0782503362077416,0.2634490166841236,0.5001488822033627,0.2927072927072927,0.79887759299524,0,,,,200,0.09259934023819101,0.25021689909307965,0.5422885572139303
Viral carcinogenesis,90,8010,0.0111102117225527,0.0111100357025861,1.7601996660232547e-07,0.1054957433588274,-0.0653811811129321,0.276372667830587,0.0313471196644727,0.2497502497502497,0.79887759299524,200,0.1024948559322504,0.2676003716955432,0.4825870646766169,200,0.09852354526288518,0.2125509720343228,0.4626865671641791
Non-small cell lung cancer,5,20,0.1997969895601272,0.1998120248317718,-1.5035271644592283e-05,-0.0306908543057379,-0.2014590960310538,0.1400773874195779,0.8061371162450486,0.7192807192807192,0.8394314019314019,0,,,,200,0.1111100145503768,0.26250158335855206,0.900497512437811
Small cell lung cancer,23,506,0.0434645488858222,0.0434637926518917,7.562339305877686e-07,0.0333576151692502,-0.1374124492969738,0.2041276796354743,0.0786663885494331,0.6953046953046953,0.8394314019314019,200,0.099097713057698,0.2605994871906656,0.8009950248756219,200,0.09766383869229715,0.262357719824128,0.8258706467661692
Breast cancer,4,12,0.2498918026685714,0.2497629076242447,0.0001288950443267,0.2586844768415127,0.0872136060765323,0.4301553476064932,0.0434143370970249,0.0039960039960039,0.0705960705960705,0,,,,200,0.09161299165629513,0.27059005975092343,0.06965174129353234
Colorectal cancer,6,30,0.1666056662797927,0.1665723174810409,3.3348798751831055e-05,0.1373167445094013,-0.0336425630940532,0.3082760521128558,0.0293626893936496,0.1188811188811188,0.5727908455181182,0,,,,200,0.09515132082254713,0.26734406402703004,0.3482587064676617
Gastric cancer,7,42,0.1428352892398834,0.1428482234477996,-1.2934207916259766e-05,-0.1916134774733805,-0.3627630613546171,-0.0204638935921439,0.3494828929667698,0.0269730269730269,0.2859140859140859,0,,,,200,0.1169115779881113,0.2778084335862164,0.23383084577114427
Hepatocellular carcinoma,25,600,0.0399878658354282,0.0399885773658752,-7.115304470062256e-07,-0.0351549248390311,-0.2059263033831279,0.1356164537050656,0.4186728651007978,0.6983016983016983,0.8394314019314019,200,0.1048862131770464,0.2511182759622465,0.845771144278607,200,0.09334367219839108,0.2609014279207285,0.7711442786069652
T cell receptor signaling pathway,10,90,0.0999586582183837,0.0999709367752075,-1.2278556823730469e-05,-0.1475759178048195,-0.3185663786214904,0.0234145430118512,0.7616170101370456,0.1008991008991009,0.5665334665334665,0,,,,200,0.11524909555252716,0.2602296990651206,0.373134328358209
B cell receptor signaling pathway,23,506,0.0434692502021789,0.0434671975672245,2.0526349544525142e-06,0.0975187166357788,-0.0733409356189513,0.268378368890509,0.7163645414527218,0.2657342657342657,0.79887759299524,200,0.1169069362651418,0.2608870893488297,0.6019900497512438,200,0.10592138676618518,0.24389429645979047,0.5920398009950248
Natural killer cell mediated cytotoxicity,35,1190,0.0285664554685354,0.028566725552082,-2.700835466384888e-07,-0.0265240912445921,-0.1972897888008942,0.14424160631171,0.8919127304538665,0.7602397602397603,0.8394314019314019,200,0.1024461886546483,0.2455604838671778,0.8159203980099502,200,0.1070999259782756,0.24211122222342135,0.8805970149253731
Antigen processing and presentation,35,1190,0.0285661444067955,0.0285656563937664,4.880130290985107e-07,0.0534563092413646,-0.1173323745247612,0.2242449930074904,0.0581777637903802,0.5534465534465535,0.8145700453392761,200,0.0908683258058661,0.2430611843902047,0.7064676616915423,200,0.10033902873384448,0.24674690671243651,0.7910447761194029
Cytokine-cytokine receptor interaction,112,12432,0.0089279524981975,0.0089280093088746,-5.6810677051544196e-08,-0.0608772192294945,-0.231674956187071,0.1099205177280819,0.1506636599581367,0.5124875124875125,0.79887759299524,0,,,,200,0.07510332410719761,0.26580711290832626,0.7313432835820896
Chemokine signaling pathway,16,240,0.0624834559857845,0.0624813884496688,2.0675361156463623e-06,0.0474422350626898,-0.1233399736350669,0.2182244437604466,0.0225474446858668,0.5994005994005994,0.8145700453392761,14,0.095936930415594,0.2133979938520588,0.7333333333333333,200,0.10751268445543546,0.27988461073611454,0.7761194029850746
ECM-receptor interaction,50,2450,0.0199969988316297,0.0199975240975618,-5.252659320831299e-07,-0.1128261531774385,-0.2837201448374926,0.0580678384826155,0.0426562421780788,0.2027972027972027,0.7677322677322678,200,0.10430139169504,0.2460481198524463,0.4776119402985074,200,0.09091880688408419,0.24922697237305494,0.4079601990049751
Focal adhesion,25,600,0.0399891175329685,0.0399888008832931,3.166496753692627e-07,0.0157313606103104,-0.1550294699478902,0.1864921911685111,0.068758577978535,0.8561438561438561,0.8917944800297742,200,0.1020427680784347,0.2665252961825604,0.9353233830845772,200,0.09881696685662934,0.2731878890528386,0.9353233830845771
Cell adhesion molecules,94,8742,0.0106373317539691,0.0106374714523553,-1.396983861923218e-07,-0.0923322691974758,-0.2631814188188726,0.078516880423921,0.8112105956128784,0.2807192807192807,0.79887759299524,200,0.101777403722693,0.2526746992770434,0.5373134328358209,200,0.0923322691974758,0.24229278080055858,0.5621890547263682
Regulation of actin cytoskeleton,63,3906,0.0158709976822137,0.0158708319067955,1.657754182815552e-07,0.0521515246759009,-0.1186356887451882,0.2229387380969901,0.4592687588180723,0.5734265734265734,0.8145700453392761,200,0.1075344087733965,0.2695849497696475,0.7064676616915423,200,0.10054771550691641,0.25740384841687347,0.736318407960199
Glycolysis / Gluconeogenesis,30,870,0.0333248823881149,0.0333251096308231,-2.272427082061768e-07,-0.0168046058476474,-0.1875658090681699,0.153956597372875,0.7042310488564989,0.8431568431568431,0.8917944800297742,200,0.0982520595702281,0.2547647210599992,0.9402985074626866,200,0.09889909518538352,0.2639518681586595,0.900497512437811
Oxidative phosphorylation,105,10920,0.009523200802505,0.0095231579616665,4.284083843231201e-08,0.0392483125943186,-0.1315263160521326,0.2100229412407698,0.2655512656628366,0.6363636363636364,0.8226164079822617,2,0.0811550488228404,0.1119947454019458,1.0,200,0.08371170515749005,0.26493216956182813,0.835820895522388
DNA replication,29,812,0.0344774574041366,0.0344730280339717,4.429370164871216e-06,0.3488503299394113,0.1767982545773496,0.520902405301473,1.378691112497568e-06,0.0009990009990009,0.0264735264735264,200,0.1119062861099924,0.2806599854234209,0.0149253731343283,200,0.10974745772158752,0.3488503299394113,0.05970149253731343
Mismatch repair,3,6,0.3329538106918335,0.3327724039554596,0.0001814067363739,0.1496355503973352,-0.0213614344604181,0.3206325352550885,0.0153939737530746,0.0829170829170829,0.5493256743256743,0,,,,200,0.09286239753875303,0.27640659152984803,0.3034825870646766
Base excision repair,16,240,0.0624810941517353,0.0624787360429763,2.358108758926392e-06,0.0596363081012922,-0.1111598332052058,0.2304324494077902,0.1771217905021669,0.5084915084915085,0.79887759299524,12,0.0552088875019525,0.1734266350739786,0.3846153846153846,200,0.10706245507564327,0.2546282117333654,0.6865671641791045
Homologous recombination,25,600,0.0399920232594013,0.0399853102862834,6.712973117828369e-06,0.3542007194752107,0.1821088055555404,0.5262926333948811,6.330520318636113e-07,0.0009990009990009,0.0264735264735264,200,0.0907446239907346,0.2450262455122466,0.0099502487562189,200,0.09585840561931162,0.3063233629534021,0.03980099502487562
