pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_sets,null_median_abs_d,null_p95,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_p95,block_null_pct
Small cell lung cancer,23,506,0.043507982045412,0.0435039885342121,3.993511199951172e-06,0.2029944979428498,0.083736702847204,0.3222522930384955,0.0001692889634989,0.0019980019980019,0.0026473526473526,200,0.1376779861458456,0.3301824885055928,0.2985074626865671,200,0.1401393121746763,0.36325853558847554,0.36318407960199006
Breast cancer,4,12,0.2507765889167785,0.2505230009555816,0.0002535879611968,0.3391541398429775,0.2193501984126122,0.4589580812733427,1.7943989996598896e-09,0.0009990009990009,0.0013933434986066,0,,,,200,0.14564931252293714,0.4124652497724815,0.11940298507462686
Colorectal cancer,6,30,0.1670634001493454,0.1669306308031082,0.0001327693462371,0.4323768257966376,0.3120431391078827,0.5527105124853925,4.54834440670644e-12,0.0009990009990009,0.0013933434986066,0,,,,200,0.14738332878177224,0.40454944888607913,0.04975124378109453
Gastric cancer,7,42,0.1431775242090225,0.143163189291954,1.4334917068481444e-05,0.0517347423799697,-0.0672369915366333,0.1707064762965727,0.7307098637845804,0.4125874125874126,0.4298054886290181,0,,,,200,0.13660590927017835,0.314605264977117,0.8109452736318408
Hepatocellular carcinoma,25,600,0.0400293990969657,0.0400211587548255,8.240342140197754e-06,0.5328619216818027,0.4118175275062044,0.6539063158574009,3.970338432051979e-18,0.0009990009990009,0.0013933434986066,200,0.1345778942963429,0.3644068247748495,0.0049751243781094,200,0.18281364099134492,0.5328619216818027,0.06965174129353234
T cell receptor signaling pathway,10,90,0.100082591176033,0.1000784859061241,4.105269908905029e-06,0.0470756087460374,-0.0718927030729727,0.1660439205650477,0.941225379282183,0.4505494505494505,0.4592138630600169,0,,,,200,0.14802263718016861,0.4203629823795742,0.8407960199004975
B cell receptor signaling pathway,23,506,0.0435011722147464,0.0435001999139785,9.723007678985596e-07,0.0493169953291019,-0.0696529225011347,0.1682869131593386,0.6935377161956479,0.4135864135864135,0.4298054886290181,200,0.1147791766730874,0.3600149760578399,0.7611940298507462,200,0.13721475153897833,0.3411193817526277,0.8059701492537313
Natural killer cell mediated cytotoxicity,35,1190,0.0285823494195938,0.0285817850381135,5.6438148021698e-07,0.0654753262737047,-0.0535083785426712,0.1844590310900807,0.577803108317859,0.2757242757242757,0.3044455544455544,200,0.1181689963982538,0.30615958389412,0.6965174129353234,200,0.1377241196009396,0.4435211003008551,0.7910447761194029
Antigen processing and presentation,35,1190,0.0285829287022352,0.0285815875977277,1.341104507446289e-06,0.1700075706757594,0.0508410512191678,0.2891740901323509,0.0041064870493705,0.0119880119880119,0.0151277294134436,200,0.1223669324067301,0.3322781075753222,0.3034825870646766,200,0.14872365311712482,0.426754278264764,0.44776119402985076
Cytokine-cytokine receptor interaction,112,12432,0.0089297201484441,0.0089297639206051,-4.37721610069275e-08,-0.0595448804700924,-0.1785230745143793,0.0594333135741944,0.2814328033081209,0.3276723276723277,0.3544210891149666,0,,,,200,0.12677512501077443,0.4266434931488044,0.8109452736318408
