pathway,k,n_edges,mean_abs_d,topdec_mean_abs_d,concentration,max_abs_d,null_median_mean_abs_d,pct_mean,null_median_topdec,pct_topdec,null_median_conc,pct_conc,null_median_max,pct_max
DNA replication,29,812,0.0001959803702281892,0.0006541222697350537,0.3370576468181741,0.0010650679469108,9.18984075943785e-05,93.5,0.00022785896548951283,98.0,0.2627836928444591,97.5,0.0003155576996505,100.0
TNF signaling pathway,22,462,0.0002953530696433978,0.0006919890800688616,0.23834916488654995,0.0008168965578079,9.82113480890265e-05,98.0,0.0002627585162507213,97.0,0.2509627903119107,34.0,0.00033949734643095,93.5
TGF-beta signaling pathway,41,1640,0.0001513611741091125,0.0003481162144097799,0.2299904294867795,0.0005122702568769,6.54283073367223e-05,99.5,0.00016584965434465672,96.5,0.2593749262515995,14.499999999999998,0.0002498035319149,100.0
ECM-receptor interaction,50,2450,0.00015128487378963725,0.00033015789730203305,0.21823589433079746,0.0004549715667963,6.792423676470132e-05,100.0,0.0001657974944278414,96.0,0.25498269440478094,7.000000000000001,0.0002604117617011,92.5
T cell receptor signaling pathway,10,90,0.0003766253590583333,0.0009026684694819556,0.23967278032973519,0.0010209754109382,0.00012622163113617713,96.0,0.0002838058604133889,95.5,0.23932431573911905,52.5,0.0003373501822352,95.0
PD-L1 expression and PD-1 checkpoint pathway in cancer,17,272,0.00024973325814828576,0.0007203608485204287,0.2969359939476413,0.0009509623050689,0.00011440912973790561,93.0,0.0002676316071301161,95.0,0.2548461086571042,81.0,0.00034357607364645,94.5
mTOR signaling pathway,88,7656,6.982582281152603e-05,0.00018634744883356765,0.26701412391576307,0.0003087827935814,5.513067744562543e-05,84.5,0.00015261712637250753,95.0,0.2668652104604754,50.0,0.0002451501786708,73.5
VEGF signaling pathway,5,20,0.0012010686099528799,0.0020273402333259,0.16879470635781885,0.0020384937524795,0.00014163772575554796,98.5,0.00029234006069595,95.0,0.21997763051445943,11.0,0.00030582305043935,95.0
Viral carcinogenesis,90,8010,5.975002864753879e-05,0.0001844120096791498,0.30863919876421025,0.000333740375936,5.975002864753879e-05,58.5,0.00015406322941067418,94.0,0.2575283025691761,91.5,0.0002451501786708,89.0
Chemokine signaling pathway,16,240,0.00028781609920160156,0.0008186131405333209,0.28442229006790937,0.0009929463267326,0.00012990152075263134,91.0,0.00031268022333577703,94.0,0.2495030380424912,80.0,0.00041408184915775004,91.5
Homologous recombination,25,600,0.00027649023880557444,0.0006081201136111685,0.21994270620120998,0.0007889382541179,0.00010354174378636292,100.0,0.0002529716895271825,93.0,0.24596871866677966,16.5,0.0003569237887859,93.5
NF-kappa B signaling pathway,46,2070,0.00012199906407344446,0.0003323301151034386,0.2724038234452135,0.000482777133584,7.029341484288308e-05,91.5,0.00017399408580091478,93.0,0.2589571208208914,69.0,0.00026508700102565,96.5
Proteoglycans in cancer,56,3080,0.00011993796419494727,0.0002745380927505698,0.22890007729690603,0.0003783497959375,6.811413248733627e-05,100.0,0.00017078495705374268,92.5,0.25900750127019917,13.0,0.00027508009225124996,86.5
Apoptosis,97,9312,7.192751753168305e-05,0.00018066562644236813,0.2513931297323024,0.0003068996593356,4.7924198471068956e-05,90.0,0.0001284336784150539,91.5,0.259817540218758,31.0,0.0002451501786708,74.5
FoxO signaling pathway,29,812,0.0002175994455960752,0.0005036299911940463,0.23372847372624178,0.0006657652556896,8.525053816822878e-05,96.5,0.00021256939735167318,91.5,0.25515690264951474,23.0,0.000303654000163,89.5
Notch signaling pathway,43,1806,0.0001281125735025075,0.0003254613041547928,0.2546058827519246,0.000493187457323,6.88626130801367e-05,92.5,0.00017204074940294474,90.5,0.2576991817616736,46.5,0.0002807741984724,98.0
Hepatocellular carcinoma,25,600,0.0002282342376807953,0.0005321177343527,0.23314544730879122,0.0007229074835777,9.144426789132872e-05,93.5,0.00023130374029273334,90.5,0.2450665343847969,36.5,0.00032693240791555,90.5
Focal adhesion,25,600,0.00024355943004286418,0.0005673756822943132,0.23295163820775094,0.0007350593805313,0.00010838931736844298,96.5,0.0002713360823690375,89.5,0.2534026845478774,28.999999999999996,0.0003639962524175,86.5
Cellular senescence,111,12210,6.320722573523487e-05,0.00015805353601988452,0.25005611966256186,0.0002451501786708,4.4662599168854174e-05,85.5,0.00012146339108774797,85.5,0.26370609057905303,27.0,0.0002218568697571,75.5
Hippo signaling pathway,73,5256,8.18103441650865e-05,0.00019004150955957927,0.2324719932939939,0.0003007538616657,5.8920897279050795e-05,96.5,0.00015873361393067717,84.0,0.26541328536289666,10.5,0.00024717347696415,69.0
B cell receptor signaling pathway,23,506,0.00021496027884743209,0.0005012307243019373,0.23501691811458958,0.0006727017462253,0.00011040658134184386,89.5,0.00027342266677052155,84.0,0.24647806228938254,28.499999999999996,0.0003651585429906,87.0
Rap1 signaling pathway,85,7140,7.133365527879313e-05,0.0001782526376888878,0.24988574746691938,0.0003105383366346,5.921955795628992e-05,90.5,0.0001541530779961521,80.0,0.25939059941519416,21.0,0.0002451501786708,82.0
