pathway,drug,n,rho,P,q
ErbB signaling pathway,Talazoparib,49,-0.29989795918367346,0.036300291452491876,0.7945052062349137
ErbB signaling pathway,Niraparib,49,-0.1764285714285714,0.22526060125063024,0.9273275876045036
ErbB signaling pathway,Olaparib,49,0.03846938775510204,0.7929890682550749,0.9621202040318297
ErbB signaling pathway,Ribociclib,49,-0.07142857142857141,0.6257509292018497,0.9605053886154118
ErbB signaling pathway,Trametinib,49,-0.12275510204081633,0.40074713210001955,0.9323688896375848
ErbB signaling pathway,Erlotinib,49,-0.11122448979591835,0.4467540418010225,0.9323688896375848
ErbB signaling pathway,Selumetinib,49,-0.05959183673469388,0.6842018876967672,0.9621202040318297
Necroptosis,MK-1775,49,0.19683673469387752,0.17522896632608326,0.9158113520080801
Necroptosis,Paclitaxel,49,0.1380612244897959,0.34413804061614794,0.9323688896375848
Necroptosis,Gefitinib,49,-0.0870408163265306,0.5520525396106359,0.9562805840174761
Necroptosis,Gemcitabine,49,0.13857142857142854,0.3423405499735799,0.9323688896375848
Necroptosis,5-Fluorouracil,49,0.1780612244897959,0.22092883111761147,0.9273275876045036
Necroptosis,Palbociclib,49,0.16397959183673466,0.2602220871823733,0.9323688896375848
Necroptosis,Docetaxel,49,-0.009489795918367346,0.9484008318941588,0.9843598274253951
Necroptosis,Cisplatin,49,0.26479591836734695,0.06596015153667487,0.8766703776965332
Necroptosis,AZD7762,49,0.15316326530612243,0.2934055021593189,0.9323688896375848
Necroptosis,AZD6738,49,0.07581632653061224,0.604625743523136,0.9605053886154118
