pathway,drug,n,rho,P,q
p53 signaling pathway,Talazoparib,49,0.0910204081632653,0.5339497217317408,0.9522796806568614
p53 signaling pathway,Niraparib,49,0.13265306122448978,0.3635483438593159,0.9323688896375848
p53 signaling pathway,Olaparib,49,0.13316326530612244,0.3616893902544285,0.9323688896375848
p53 signaling pathway,Ribociclib,49,0.10479591836734692,0.4736142165518288,0.9323688896375848
p53 signaling pathway,Trametinib,49,0.08846938775510203,0.5455206655288907,0.9562805840174761
p53 signaling pathway,Erlotinib,49,0.1254081632653061,0.3905657236317662,0.9323688896375848
p53 signaling pathway,Selumetinib,49,0.03908163265306122,0.7897687344715488,0.9621202040318297
Colorectal cancer,MK-1775,49,0.03806122448979591,0.7951378605954806,0.9621202040318297
Colorectal cancer,Paclitaxel,49,-0.06499999999999999,0.6572422743174978,0.9605053886154118
Colorectal cancer,Gefitinib,49,-0.035816326530612244,0.8069827115219305,0.9621202040318297
Colorectal cancer,Gemcitabine,49,-0.11622448979591835,0.42645681275493874,0.9323688896375848
Colorectal cancer,5-Fluorouracil,49,-0.07214285714285713,0.6222910136186797,0.9605053886154118
Colorectal cancer,Palbociclib,49,-0.18255102040816323,0.20931551794996836,0.9166331273697411
Colorectal cancer,Docetaxel,49,-0.12928571428571428,0.37596194878603606,0.9323688896375848
Colorectal cancer,Cisplatin,49,-0.22510204081632648,0.11992942450743797,0.9158113520080801
Colorectal cancer,AZD7762,49,0.07418367346938774,0.6124501386692583,0.9605053886154118
Colorectal cancer,AZD6738,49,0.06408163265306122,0.6617911709685911,0.9605053886154118
Colorectal cancer,Talazoparib,49,-0.22377551020408162,0.12218545228522917,0.9158113520080801
Colorectal cancer,Niraparib,49,-0.2147959183673469,0.13830908046793342,0.9158113520080801
Colorectal cancer,Olaparib,49,-0.10540816326530611,0.47101966788956606,0.9323688896375848
Colorectal cancer,Ribociclib,49,-0.06938775510204082,0.6356802350764164,0.9605053886154118
Colorectal cancer,Trametinib,49,0.1711224489795918,0.2397427928872857,0.9323688896375848
Colorectal cancer,Erlotinib,49,-0.07551020408163266,0.6060895093109346,0.9605053886154118
Colorectal cancer,Selumetinib,49,0.03183673469387755,0.8280844343418954,0.9669803857890183
Rap1 signaling pathway,MK-1775,49,0.02591836734693877,0.8596854760633275,0.97280198607166
Rap1 signaling pathway,Paclitaxel,49,0.06581632653061224,0.653209094074916,0.9605053886154118
Rap1 signaling pathway,Gefitinib,49,0.023265306122448978,0.8739254604546727,0.9744519411513071
Rap1 signaling pathway,Gemcitabine,49,0.12663265306122448,0.38591839023035046,0.9323688896375848
Rap1 signaling pathway,5-Fluorouracil,49,0.1577551020408163,0.27899729820085306,0.9323688896375848
Rap1 signaling pathway,Palbociclib,49,0.09683673469387753,0.5080248126007034,0.9443281297715301
Rap1 signaling pathway,Docetaxel,49,0.2324489795918367,0.10800191306905586,0.9158113520080801
Rap1 signaling pathway,Cisplatin,49,0.09224489795918366,0.5284386102313894,0.9522796806568614
Rap1 signaling pathway,AZD7762,49,0.07673469387755101,0.6002436855588775,0.9605053886154118
Rap1 signaling pathway,AZD6738,49,0.09040816326530611,0.5367157707669314,0.9522796806568614
Rap1 signaling pathway,Talazoparib,49,0.10612244897959182,0.4680023121030552,0.9323688896375848
Rap1 signaling pathway,Niraparib,49,-0.10530612244897959,0.47145156492912,0.9323688896375848
Rap1 signaling pathway,Olaparib,49,0.031224489795918367,0.8313419340641999,0.9671421968746369
Rap1 signaling pathway,Ribociclib,49,0.1313265306122449,0.3684086231659487,0.9323688896375848
Rap1 signaling pathway,Trametinib,49,0.07591836734693877,0.6041381628748284,0.9605053886154118
Rap1 signaling pathway,Erlotinib,49,0.071734693877551,0.6242671257960364,0.9605053886154118
Rap1 signaling pathway,Selumetinib,49,0.1577551020408163,0.27899729820085306,0.9323688896375848
mTOR signaling pathway,MK-1775,49,-0.024897959183673466,0.8651574224670753,0.9744519411513071
mTOR signaling pathway,Paclitaxel,49,0.12448979591836733,0.3940727161338323,0.9323688896375848
mTOR signaling pathway,Gefitinib,49,-0.15724489795918364,0.2805747950279691,0.9323688896375848
mTOR signaling pathway,Gemcitabine,49,0.0031632653061224487,0.9827899507081199,0.9881973232016997
mTOR signaling pathway,5-Fluorouracil,49,0.04091836734693877,0.7801287611338564,0.9621202040318297
mTOR signaling pathway,Palbociclib,49,-0.14928571428571427,0.3059419944799865,0.9323688896375848
mTOR signaling pathway,Docetaxel,49,-0.015102040816326528,0.917970076259211,0.9797021202123788
mTOR signaling pathway,Cisplatin,49,-0.031224489795918367,0.8313419340641999,0.9671421968746369
mTOR signaling pathway,AZD7762,49,-0.06714285714285713,0.6466760824202926,0.9605053886154118
mTOR signaling pathway,AZD6738,49,-0.03673469387755102,0.8021317503456594,0.9621202040318297
mTOR signaling pathway,Talazoparib,49,-0.2902040816326531,0.043099198111371424,0.7945052062349137
mTOR signaling pathway,Niraparib,49,-0.17765306122448976,0.22200631551018368,0.9273275876045036
mTOR signaling pathway,Olaparib,49,-0.20510204081632652,0.15744082923543432,0.9158113520080801
mTOR signaling pathway,Ribociclib,49,-0.00846938775510204,0.953942802512475,0.9843598274253951
