pathway,drug,n,rho,P,q
Central carbon metabolism in cancer,Talazoparib,805,-0.10596957416576012,0.0026087615317170625,0.008707783925503072
Central carbon metabolism in cancer,Niraparib,805,-0.07475527131385287,0.03394978011381768,0.07342393273136309
Central carbon metabolism in cancer,Olaparib,805,-0.11200024567758131,0.0014585294830304562,0.005524274881322609
Central carbon metabolism in cancer,Ribociclib,805,-0.08986929630625597,0.01074081785730299,0.028041206620316023
Central carbon metabolism in cancer,Trametinib,805,0.03308398285685761,0.3485147653180888,0.47178572860652385
Central carbon metabolism in cancer,Erlotinib,805,-0.014063523297158766,0.6903226146922883,0.7599786616567209
Central carbon metabolism in cancer,Selumetinib,805,0.04754500695971463,0.1777749219602675,0.27358624832201167
p53 signaling pathway,MK-1775,805,0.1294960090044974,0.00022965529242834282,0.0011466653093083596
p53 signaling pathway,Paclitaxel,805,0.11638335916245107,0.0009389554442031955,0.0037069484167251607
p53 signaling pathway,Gefitinib,805,0.06637755077394188,0.05977515424192602,0.1166805127698832
p53 signaling pathway,Gemcitabine,805,0.135953717840218,0.0001091327281263328,0.0006043638201541612
p53 signaling pathway,5-Fluorouracil,805,0.1415990804113305,5.5395943321744124e-05,0.00033745362140162464
p53 signaling pathway,Palbociclib,805,0.16312088603988262,3.2848766929283484e-06,3.3350623090703095e-05
p53 signaling pathway,Docetaxel,805,0.09777749258526136,0.00549410874592428,0.016064773973082595
p53 signaling pathway,Cisplatin,805,0.14399404576918132,4.1223476102386846e-05,0.00026104473639554474
p53 signaling pathway,AZD7762,805,0.1467232292523787,2.9269590193912694e-05,0.00020184972105424698
