pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_edge_sets,null_median_abs_d,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_pct
Small cell lung cancer,23,506,0.043395087122917175,0.043468307703733444,-7.322058081626892e-05,-0.8856704531267072,-1.0635944463799087,-0.7077464598735057,5.867726525765893e-22,0.000999000999000999,0.0010182125566740952,200,0.09663765123443373,0.004975124378109453,200,0.09057572000118874,0.01990049751243781
Breast cancer,4,12,0.24948082864284515,0.2499609887599945,-0.00048016011714935303,-0.4380457197288212,-0.6098642951183868,-0.26622714433925565,0.00029547206669420107,0.000999000999000999,0.0010182125566740952,0,,,200,0.09039088718089541,0.024875621890547265
Colorectal cancer,6,30,0.1663946509361267,0.1666204035282135,-0.000225752592086792,-0.3527103015897692,-0.5238197503584627,-0.1816008528210756,0.007300623510678955,0.000999000999000999,0.0010182125566740952,0,,,200,0.11360955825575916,0.03482587064676617
Gastric cancer,7,42,0.1426299810409546,0.14267101883888245,-4.1037797927856445e-05,-0.043148672823580876,-0.21296277629928365,0.1266654306521219,0.49315557769263896,0.6223776223776224,0.6223776223776224,0,,,200,0.1117025591510831,0.7960199004975125
Hepatocellular carcinoma,25,600,0.039958905428647995,0.0399947427213192,-3.583729267120361e-05,-0.696997840853157,-0.8718716374058952,-0.5221240443004187,8.744615526843905e-14,0.000999000999000999,0.0010182125566740952,200,0.086053013547221,0.004975124378109453,200,0.09059683970911672,0.05472636815920398
T cell receptor signaling pathway,9,72,0.11087970435619354,0.11107322573661804,-0.0001935213804244995,-0.5593647172265135,-0.7324476288738204,-0.3862818055792065,1.0932609955350057e-08,0.000999000999000999,0.0010182125566740952,0,,,200,0.10368003162739742,0.024875621890547265
B cell receptor signaling pathway,23,506,0.043431852012872696,0.043470170348882675,-3.831833600997925e-05,-0.6348503457576553,-0.8088691908066095,-0.46083150070870116,7.220286118646434e-10,0.000999000999000999,0.0010182125566740952,200,0.10293106697262124,0.004975124378109453,200,0.09863595061684302,0.03980099502487562
Natural killer cell mediated cytotoxicity,35,1190,0.028550218790769577,0.028567172586917877,-1.695379614830017e-05,-0.6559523408260722,-0.8302529985511868,-0.48165168310095763,2.3950600475824487e-14,0.000999000999000999,0.0010182125566740952,200,0.09996838430400057,0.004975124378109453,200,0.116948993157938,0.09950248756218906
Antigen processing and presentation,35,1190,0.02854403480887413,0.028566967695951462,-2.2932887077331543e-05,-0.7884696167638479,-0.96473792540239,-0.6122013081253057,1.3511135480603483e-14,0.000999000999000999,0.0010182125566740952,200,0.10275157954151859,0.004975124378109453,200,0.11506685050885146,0.08955223880597014
Cytokine-cytokine receptor interaction,112,12432,0.008925979025661945,0.008927939459681511,-1.9604340195655823e-06,-0.7944429091138616,-0.9708078456145101,-0.6180779726132132,3.781341321787411e-21,0.000999000999000999,0.0010182125566740952,0,,,200,0.12363678681625204,0.26865671641791045
Chemokine signaling pathway,16,240,0.06239919736981392,0.062494128942489624,-9.493157267570496e-05,-0.7253414220725896,-0.9006301184332897,-0.5500527257118895,2.0640635331285277e-15,0.000999000999000999,0.0010182125566740952,42,0.14534695571607703,0.023255813953488372,200,0.11036374099710565,0.029850746268656716
ECM-receptor interaction,50,2450,0.019986404106020927,0.01999758929014206,-1.1185184121131897e-05,-0.7767487728659104,-0.9528294456880191,-0.6006681000438017,2.251898330460813e-18,0.000999000999000999,0.0010182125566740952,200,0.11957013545936937,0.004975124378109453,200,0.10495040475516251,0.04477611940298507
Focal adhesion,25,600,0.039940863847732544,0.039993684738874435,-5.282089114189148e-05,-0.8664827943789474,-1.0440659868141051,-0.6888996019437897,1.2069366728071034e-18,0.000999000999000999,0.0010182125566740952,200,0.10535580078947111,0.004975124378109453,200,0.10918141778145625,0.05472636815920398
Cell adhesion molecules,90,8010,0.011106026358902454,0.011110241524875164,-4.215165972709656e-06,-0.9199663115298943,-1.0985163405091416,-0.741416282550647,4.471444117752023e-29,0.000999000999000999,0.0010182125566740952,200,0.08147380061622085,0.004975124378109453,200,0.11660668905254809,0.09950248756218906
Regulation of actin cytoskeleton,63,3906,0.015863697975873947,0.015872173011302948,-8.475035429000854e-06,-0.9673196994524117,-1.146769352517097,-0.7878700463877263,3.531908140739331e-28,0.000999000999000999,0.0010182125566740952,200,0.10069101685007364,0.004975124378109453,200,0.10751037318622098,0.06965174129353234
Glycolysis / Gluconeogenesis,30,870,0.03329199180006981,0.03332855924963951,-3.656744956970215e-05,-0.9000733980747272,-1.078257672854354,-0.7218891232951004,2.743674783735315e-23,0.000999000999000999,0.0010182125566740952,200,0.10084614709252948,0.004975124378109453,200,0.11408430027905317,0.04477611940298507
Oxidative phosphorylation,90,8010,0.01110480260103941,0.011109248735010624,-4.4461339712142944e-06,-0.6624446734449327,-0.8368337943799453,-0.48805555250992017,2.2537058520994475e-18,0.000999000999000999,0.0010182125566740952,200,0.10518654185150456,0.004975124378109453,200,0.10773000026779173,0.19402985074626866
DNA replication,29,812,0.03445287048816681,0.03447749465703964,-2.4624168872833252e-05,-0.6948858156440239,-0.8697293193663229,-0.5200423119217248,1.367046823112197e-13,0.000999000999000999,0.0010182125566740952,200,0.09940468363229879,0.004975124378109453,200,0.11216568838056068,0.03980099502487562
Mismatch repair,3,6,0.331926554441452,0.33316734433174133,-0.0012407898902893066,-0.35324040889946046,-0.5243537984656772,-0.18212701933324377,0.00023008783057343728,0.000999000999000999,0.0010182125566740952,0,,,200,0.12295276582846466,0.04477611940298507
Base excision repair,16,240,0.06239011883735657,0.06248266249895096,-9.254366159439087e-05,-0.6586699846933206,-0.833007571921093,-0.48433239746554824,1.6046631118457937e-10,0.000999000999000999,0.0010182125566740952,61,0.12444797206707907,0.016129032258064516,200,0.09871982813256672,0.024875621890547265
Homologous recombination,22,462,0.045409832149744034,0.04544902592897415,-3.91937792301178e-05,-0.680109308588874,-0.8547433004249183,-0.5054753167528296,1.03870492957851e-10,0.000999000999000999,0.0010182125566740952,200,0.11074298456296225,0.004975124378109453,200,0.1079709034464967,0.05472636815920398
