dataset,model,c_index,se,split
OV,path_agnn_cox_static,0.5114189127713846,0.019150289428487597,external
OV,plain_gnn,0.514923974533238,0.018866147218799274,external
OV,ridge_cox,0.6294487118671598,0.015622103366417374,external
OV,rsf,0.5572602674955088,0.032613614439312016,external
STAD,cox_nnet,0.5250427570556935,0.0032781045117373816,external
STAD,deepsurv,0.5064762965321722,0.03400509951041871,external
STAD,elastic_net,0.5333178345565222,0.00037579791244994246,external
STAD,lasso_cox,0.535176653030274,0.005745198633942144,external
STAD,path_agnn_cox,0.5124323616435167,0.0491894279471387,external
STAD,path_agnn_cox_noreg,0.48226863002202114,0.01627552367024008,external
STAD,path_agnn_cox_static,0.5114319443818145,0.006668344506819808,external
STAD,plain_gnn,0.5194888483962832,0.0018585790710031094,external
STAD,ridge_cox,0.5739567176556825,0.0028304093780374415,external
STAD,rsf,0.5692493542536419,0.01635487731186475,external
